ID_Number,ID,Site_Name,Special,Longitiude_E,Latitude_N,Location,Altitude_MASL,Era,Culture,Date_Start,Date_End,NonGrave_Structure,Grave_Type,Number_Chullpa,Number_Cave,Number_Subterranean,Number_Platform,Burials_Num,Burials,Ceramic_Num,Ceramic,Ceramic_Type,Ceramic_Type_Num,Metal_Num,Metal,MNI,Adult_Male,Adult_Female,Adule_Indeterminate,Total_Adult,Total_Subadult,Total_Infant
,Ibarra_1,49,Marcajirca,265430,8962250,"2,654,308,962,250",3750,,,,,,Chullpa & Cave,38,19,,,1,Yes,1,Yes,,,,,,,,,,,
,Ibarra_2,55,Pan de Azucar,268440,8960820,"2,684,408,960,820",3280,IT/IT,,,,Walls,Platform,,,,1,1,Yes,1,Yes,,,,,,,,,,,
,Ibarra_3,56,Ñawpamarca de Huachis,269740,8959970,"2,697,408,959,970",3860,Int Tardio,,,,Terraces,,,,,,0,No,1,Yes,,,,,,,,,,,
,Ibarra_4,57,Torre de Jatonviejo,272410,8959170,"2,724,108,959,170",3710,Int Tardio,,,,,Cave,,1,,,1,Yes,1,Yes,,,,,15 crania,,,,,,
,Ibarra_5,58,Wiñaj,271080,8956920,"2,710,808,956,920",4290,Int Tardio,,,,Corral,,,,,,0,No,0,No,,,,,,,,,,,
,Ibarra_6,66,Guiesgipitac,265190,8962590,"2,651,908,962,590",3210,Int Tardio,,,,Wall,NONE,,,,,0,No,0,No,,,0,No,,,,,,,
,Ibarra_7,68,Charac,270310,8971160,"2,703,108,971,160",4320,Int Tardio,,,,Corral,NONE,,,,,0,No,0,No,,,0,No,,,,,,,
,Ibarra_8,69,Illauro,268750,8970450,"2,687,508,970,450",3980,Int Tardio,,,,Corral,NONE,,,,,0,No,0,No,,,0,No,,,,,,,
,Ibarra_9,70,Ñawpamarca de Huari,259130,8971530,"2,591,308,971,530",4286,Int Tardio,,,,Wall,NONE,,,,,0,No,0,No,,,0,No,,,,,,,
,Ibarra_10,71,Pinkush 2,258460,8973720,"2,584,608,973,720",4190,Int Tardio,,,,Wall,NONE,,,,,0,No,0,No,,,0,No,,,,,,,
,Ibarra_11,72,Pinkush 3,258470,8974420,"2,584,708,974,420",4320,Int Tardio,,,,Wall,NONE,,,,,0,No,0,No,,,0,No,,,,,,,
,Ibarra_12,73,Pinkush 4,258460,8975690,"2,584,608,975,690",4410,Int Tardio,,,,Wall or Corral,NONE,,,,,0,No,0,No,,,0,No,,,,,,,
,Ibarra_13,74,Pinkush de Huamparan,260287,8977198,"2,602,878,977,198",3710,Int Tardio,,,,Village,NONE,,,,,0,No,0,No,,,0,No,,,,,,,
,Ibarra_14,75,Yamllipitec,262120,8969830,"2,621,208,969,830",3120,HT/IT,,,,Mound,NONE,,,,,0,No,1,Yes,,,0,No,,,,,,,
,Ibarra_15,76,Cashapallan,261600,8967940,"2,616,008,967,940",3190,HT/IT,,,,Mound,NONE,,,,,0,No,1,Yes,,,0,No,,,,,,,
,Ibarra_16,77,Ñawpamarca de Acopalca,256020,8969400,"2,560,208,969,400",3690,HT/IT,,,,Wall,NONE,,,,,0,No,0,No,,,0,No,,,,,,,
,Ibarra_17,78,Chullin,259870,8966010,"2,598,708,966,010",3320,Int Tardio,,,,NONE,Sepulcher ,,,,,1,Yes,1,Yes,,,0,No,,,,,,,
,Ibarra_18,80,Mashuanco,262240,8963390,"2,622,408,963,390",3280,Int Temprano,,,,NONE,Cave,,,,,1,Yes,1,Yes,,,0,No,,,,,,,
,Ibarra_19,84,Yacya,262020,8961930,"2,620,208,961,930",3370,IT/IT,,,,Wall,NONE,,,,,0,No,1,Yes,,,0,No,,,,,,,
,Ibarra_20,105,Chullin 2,260230,8965880,"2,602,308,965,880",3461,Int Temprano,,,,Platform,NONE,,,,,0,No,1,Yes,Kaolin,,0,No,,,,,,,
,Ibarra_21,106,Reparin,263680,8971140,"2,636,808,971,140",3590,HT/IT,,,,Mound,NONE,,,,,0,No,1,Yes,,,0,No,,,,,,,
,Ibarra_22,107,Pirushto,262741,8971112,"2,627,418,971,112",3351,HT/IT,,,,Mound,NONE,,,,,0,No,1,Yes,,,0,No,,,,,,,
,Ibarra_23,108,Ushnujirca,261330,8977650,"2,613,308,977,650",3781,Int Temprano,,,,Wall,Subteranean,,,18,,1,Yes,1,Yes,,,0,No,,,,,,,
,Ibarra_24,109,Huamparan,261463,8976604,"2,614,638,976,604",3681,Int Temprano,,,,Corral,NONE,,,,,0,No,0,No,,,0,No,,,,,,,
,Ibarra_25,110,Ogupampa,261726,8975015,"2,617,268,975,015",3540,Int Temprano,,,,Mound,Mound,,,,,1,Yes,0,No,,,0,No,10,,,,,,
,Ibarra_26,111,Chuncayajirca 2,261560,8975450,"2,615,608,975,450",3574,HT/IT,,,,Platform,NONE,,,,,0,No,1,Yes,,,0,No,,,,,,,
,Ibarra_27,112,Chuncayajirca 1,260985,8978674,"2,609,858,978,674",3381,HT/IT,,,,Platform,NONE,,,,,0,No,1,Yes,,,0,No,,,,,,,
,Ibarra_28,113,Llamacorral,257905,8969959,"2,579,058,969,959",3532,HT/IT,,,,Walls,NONE,,,,,0,No,0,No,,,0,No,,,,,,,
,Ibarra_29,114,Ishla Ranra,257905,8969959,"2,579,058,969,959",3532,HT/IT,,,,Residential,Tombas,5,,,,1,Yes,1,Yes,,,0,No,5,,,,,,
,Ibarra_30,115,Buenos Aires,261763,8964612,"2,617,638,964,612",3354,IT,,,,Platform,NONE,,,,,0,No,1,Yes,,,0,No,,,,,,,
,Ibarra_31,116,Ushcugaga,264414,8969995,"2,644,148,969,995",3653,HT,,,,Corral,Tombas,,,,,1,Yes,1,Yes,,,0,No,,,,,,,
,Ibarra_32,117,Pirushto de Cajay 2,264167,8969730,"2,641,678,969,730",3615,HT/IT,,,,Platform & Huanca,,,,,,0,No,1,Yes,,,0,No,,,,,,,
,Ibarra_33,118,Ushnu de Cajay,262596,8977609,"2,625,968,977,609",3575,HT/IT,,600,1200,Residential,Chullpa & Subterranean,3,,,,1,Yes,1,Yes,,,0,No,,,,,,,
,Ibarra_34,123,Quenguajirca,277204,8950088,"2,772,048,950,088",3975,Inka,,,,Mound,NONE,,,,,0,No,0,No,,,0,No,,,,,,,
,Ibarra_35,124,Taulli,275111,8950570,"2,751,118,950,570",4094,Inka,,,,Agricultural,NONE,,,,,0,No,0,No,,,0,No,,,,,,,
,Ibarra_36,125,Ahuac Punta,276395,8950794,"2,763,958,950,794",3857,Inka,,,,Mound,NONE,,,,,0,No,0,No,,,0,No,,,,,,,
