ID,Site_Name,Special,Longitiude_E,Latitude_N,Location,Altitude_MASL,Era,Culture,Date_Start,Date_End,NonGrave_Structure,Grave_Type,Number_Chullpa,Number_Cave,Number_Subterranean,Number_Platform,Burials,Ceramic,Ceramic_Type,MNI,Adult_Male,Adult_Female,Adule_Indeterminate,Total_Adult,Total_Subadult,Total_Infant
1,AC02,NONE,180121,9007534,"1,801,219,007,534",3252,EIP,Recuay,200,700,Residential,NONE,0,0,0,0,NO,YES,Recuay,0,0,0,0,0,0,0
2,AC08,NONE,180026,9007139,"1,800,269,007,139",3361,LIP,Recuay Casma Influence,700,1000,Corral,Chullpa,3,0,0,0,Looted,YES,Akillpo,0,0,0,0,0,0,0
3,HY02,NONE,182633,9017914,"1,826,339,017,914",2793,EIP(P),Recuay,200,700,NONE,Chullpa on Platform,1,0,0,1,NO,NO,NONE,0,0,0,0,0,0,0
4,HY03,Cashacoto,177790,9018318,"1,777,909,018,318",3150,EIP,Recuay,200,700,Residential,Chullpa,2,0,0,0,Looted,NO,NONE,0,0,0,0,0,0,0
5,HY04,Parian Punta,178037,9022821,"1,780,379,022,821",3565,EIP,Recuay,200,700,Platform,Chullpa,1,0,0,0,Looted,YES,Kaolin,0,0,0,0,0,0,0
6,HU01,Hualcayan,192358,9015200,"1,923,589,015,200",3250,LF On,Recuay_Various,1300BC ,1000,Mound & Patio,Chullpa & Subterranean,2,0,4,0,YES,YES,Kaolin,129,35,25,19,79,18,0
7,HU02,Cruz Punta,190534,9013954,"1,905,349,013,954",2965,LIP,Recuay,700,1000,Residential,NONE,0,0,0,0,NO,YES,Akillpo,0,0,0,0,0,0,0
8,SC01,Wayumarca,193259,9006910,"1,932,599,006,910",3239,EIP,Recuay,200,700,Mound,Chullpa,1,0,0,0,Looted,YES,Recuay,0,0,0,0,0,0,0
9,SC03,Cementario Katiama,194311,9006605,"1,943,119,006,605",3400,EIP(P),Recuay,200,700,Platform,Chullpa on Platform,1,0,several,1,Looted,NO,NONE,0,0,0,0,0,0,0
10,SC05,Pariamarca,193609,9005770,"1,936,099,005,770",3307,LF On,Recuay,1300BC ,1000,Platform,Subterranean,0,0,several,0,NO,NO,NONE,0,0,0,0,0,0,0
11,SC06,NONE,192796,9007889,"1,927,969,007,889",3111,EIP(P),Recuay,200,700,NONE,Subterranean,0,0,3,0,Looted,NO,NONE,0,0,0,0,0,0,0
12,SC07,NONE,193286,9007455,"1,932,869,007,455",3188,EIP(P),Recuay,200,700,NONE,Chullpa,2,0,0,0,NO,NO,NONE,0,0,0,0,0,0,0
13,SC08,NONE,194091,9005589,"1,940,919,005,589",3311,EIP(P),Recuay,200,700,NONE,Subterranean,0,0,20,0,Looted,NO,NONE,0,0,0,0,0,0,0
14,PC01,Ushnucorral,195885,9002822,"1,958,859,002,822",3640,EIP(P),Recuay,200,700,Residential,Chullpa,9,0,0,0,NO,NO,NONE,0,0,0,0,0,0,0
15,PC02,NONE,195790,9004325,"1,957,909,004,325",3470,EIP(P),Recuay,200,700,Terrace,Chullpa,1,0,0,0,NO,NO,NONE,0,0,0,0,0,0,0
16,PC03,NONE,197321,9003606,"1,973,219,003,606",3545,EIP(P),Recuay,200,700,Platform,Chullpa & Subterranean,MANY,0,MANY,0,Looted,NO,NONE,0,0,0,0,0,0,0
17,PC04,Wancotay,197904,9002354,"1,979,049,002,354",3350,EIP(P),Recuay,200,700,Platform,Subterranean,0,0,MANY,0,Looted,NO,NONE,0,0,0,0,0,0,0
